id,strategy,average,average low CI,average high CI,difference,difference low CI,difference high CI,loyalty,loyalty low CI,loyalty high CI
84,homophily,6.018016667,5.95214845,6.083884883,0.93825,0.910850302,0.965649697,2.869179989,2.490163923,3.248196054
85,homophily,5.97085,5.895220134,6.046479866,1.155916667,1.12223898,1.189594353,2.541253844,2.325261924,2.757245764
87,homophily,3.86385,3.78285385,3.94484615,1.13435,1.103392193,1.165307807,2.45954002,2.235932143,2.683147897
88,homophily,2.3881,2.329016778,2.447183222,0.751766667,0.727504717,0.776028616,3.600756779,2.735403439,4.46611012
89,homophily,4.701,4.608696849,4.793303151,1.267533333,1.229948539,1.305118128,2.390926192,2.222035584,2.559816801
90,homophily,2.681,2.601173338,2.760826662,0.929066667,0.912638347,0.945494986,3.370378792,2.733977459,4.006780125
2,oneSided,5.784597016,5.691208733,5.8779853,1.497567512,1.408868194,1.586266829,2.220468689,2.061339781,2.379597597
3,oneSided,4.023629129,3.932393004,4.114865255,1.492078638,1.39925764,1.584899635,2.387427942,2.165887279,2.608968606
4,oneSided,6.012386649,5.950315449,6.074457849,1.562207647,1.503042117,1.621373176,2.259598766,2.059017802,2.460179731
6,oneSided,5.87774401,5.774315971,5.981172048,1.681751966,1.585760069,1.777743863,1.97566062,1.871590503,2.079730736
8,oneSided,6.834858847,6.755761655,6.91395604,1.233823024,1.176027472,1.291618576,2.231154866,2.014562743,2.447746989
9,oneSided,5.203653682,5.088722598,5.318584766,1.763744922,1.656113031,1.871376814,2.023308396,1.923063918,2.123552874
10,oneSided,6.717073558,6.676303388,6.757843728,1.080347638,1.040508711,1.120186565,2.771513535,2.364151257,3.178875813
12,oneSided,5.751895636,5.689838656,5.813952616,1.437592659,1.374372334,1.500812984,2.538788037,2.28098491,2.796591165
13,oneSided,6.925394775,6.833341708,7.017447842,1.1396367,1.074816154,1.204457246,2.240618275,1.974329992,2.506906559
14,oneSided,7.362196284,7.162870051,7.561522516,1.176934042,1.017895227,1.335972856,1.626233892,1.500497239,1.751970546
16,oneSided,6.218297899,6.129333763,6.307262034,1.45139658,1.381676148,1.521117012,2.31217824,2.10289898,2.5214575
17,oneSided,6.360194107,6.292356127,6.428032088,1.35079524,1.283682297,1.417908182,2.473933864,2.184057741,2.763809986
20,oneSided,6.656739698,6.549417148,6.764062248,1.476365362,1.370658825,1.582071899,1.98162505,1.79076294,2.172487159
21,oneSided,7.23710501,7.189626957,7.284583063,0.703040674,0.657910209,0.748171139,2.981909258,2.190111251,3.773707265
22,oneSided,6.305604004,6.253005482,6.358202525,1.194298273,1.140731593,1.247864952,2.863161199,2.43072083,3.295601568
23,oneSided,5.898895017,5.797167559,6.000622476,1.687898108,1.590523438,1.785272778,2.024304285,1.880867085,2.167741484
24,oneSided,5.693154663,5.60274198,5.783567347,1.510356153,1.432052828,1.588659478,2.122020819,1.988457747,2.255583892
26,oneSided,6.462341476,6.399458845,6.525224107,1.070070519,1.013742261,1.126398777,2.82142997,2.252240374,3.390619566
27,oneSided,5.926207895,5.836898624,6.015517165,1.450320982,1.365355753,1.53528621,2.272839934,2.09502483,2.450655038
28,oneSided,6.495551275,6.427072103,6.564030447,1.34572912,1.287002994,1.404455246,2.378782652,2.110180614,2.64738469
29,oneSided,4.839713737,4.759024908,4.920402566,1.464528202,1.383174032,1.545882373,2.319095507,2.158643923,2.47954709
32,oneSided,6.081726376,5.986780406,6.176672345,1.619745144,1.534396732,1.705093557,1.936433799,1.823186514,2.049681084
34,oneSided,5.434372068,5.343741728,5.525002407,1.512769936,1.423515564,1.602024309,2.231147654,2.073468789,2.388826519
35,oneSided,6.409660995,6.362673122,6.456648867,1.257361985,1.209402845,1.305321124,2.861197018,2.432038083,3.290355952
36,oneSided,6.293250642,6.221817981,6.364683303,1.330627545,1.263567477,1.397687614,2.343468401,2.154653145,2.532283658
37,oneSided,6.488856325,6.392082582,6.585630069,1.426158695,1.350341164,1.501976227,2.182283569,1.975192033,2.389375104
39,oneSided,6.564529614,6.500358397,6.628700831,1.284584677,1.228247968,1.340921386,2.455771449,2.185277309,2.72626559
40,oneSided,7.150109709,7.061273352,7.238946065,1.109169083,1.054787143,1.163551023,2.303632346,1.97761215,2.629652542
41,oneSided,5.786950595,5.698825214,5.875075976,1.704459028,1.62154401,1.787374045,2.108670234,1.976418076,2.240922392
42,oneSided,5.092645732,5.005328792,5.179962672,1.641958652,1.553655575,1.730261729,2.320088327,2.143541894,2.496634761
43,oneSided,5.943082288,5.871438757,6.014725819,1.569617903,1.503727824,1.635507983,2.202077229,2.054147007,2.350007452
44,oneSided,7.582770888,7.508169044,7.657372733,0.76114328,0.717946052,0.804340508,2.022637809,1.778496306,2.266779312
46,oneSided,6.839365106,6.757958425,6.920771787,1.456426163,1.381722903,1.531129423,1.955458319,1.833524989,2.07739165
47,oneSided,5.989112382,5.927871888,6.050352877,1.279209657,1.216085932,1.342333381,2.657426256,2.381304616,2.933547895
48,oneSided,6.581229571,6.506287405,6.656171738,1.23557979,1.176510995,1.294648585,2.287128656,2.062092449,2.512164862
50,oneSided,6.954427871,6.870975529,7.037880213,1.085658547,1.013419371,1.157897723,2.395334938,2.12561894,2.665050936
51,oneSided,7.936846337,7.81972705,8.053965623,0.690470799,0.601567766,0.779373832,1.763474734,1.544168243,1.982781226
52,oneSided,6.598466822,6.522613554,6.67432009,1.300638053,1.242190545,1.359085561,2.222460468,2.034811063,2.410109873
53,oneSided,6.878806579,6.820835917,6.93677724,1.092130166,1.045291413,1.138968918,2.441746586,2.188521863,2.694971309
54,oneSided,5.959623807,5.876177751,6.043069863,1.579422231,1.504190687,1.654653776,2.116108088,1.988602959,2.243613217
55,oneSided,6.056074541,5.999385585,6.112763496,1.546970174,1.49383593,1.600104417,2.225264741,2.026425251,2.424104231
57,oneSided,6.330903316,6.270056207,6.391750425,1.407209797,1.348666761,1.465752833,2.293984177,2.096118725,2.491849628
59,oneSided,6.990277114,6.876276082,7.104278146,1.2250051,1.137123584,1.312886615,1.995712967,1.821717613,2.169708321
60,oneSided,5.503174505,5.423279219,5.583069791,1.514480271,1.434576999,1.594383543,2.30642548,2.120135794,2.492715166
61,oneSided,5.468613872,5.354062881,5.583164863,1.75479131,1.652837609,1.856745012,2.081620367,1.967327334,2.195913401
62,oneSided,7.273705175,7.168116601,7.379293748,1.148261162,1.076194566,1.220327757,1.939514662,1.769491387,2.109537936
63,oneSided,6.264406196,6.191787843,6.337024549,1.374130089,1.307058121,1.441202058,2.279508089,2.074199707,2.48481647
64,oneSided,8.429894134,8.279998483,8.579789785,0.425321967,0.333899377,0.516744558,1.526494558,1.199750616,1.853238501
65,oneSided,6.986523076,6.934985574,7.038060579,0.946630239,0.896208922,0.997051556,2.968911471,2.28118201,3.656640931
66,oneSided,5.807439392,5.742671372,5.872207412,1.442827131,1.378190116,1.507464147,2.565363395,2.342445967,2.788280824
68,oneSided,4.052136284,3.962180639,4.142091929,1.571601521,1.480322989,1.662880054,2.299708532,2.13714397,2.462273095
69,oneSided,7.023791779,6.95825869,7.089324868,0.886775167,0.831168018,0.942382316,2.654620747,2.264806409,3.044435084
70,oneSided,6.172155958,6.121287642,6.223024273,1.181619176,1.132238242,1.231000111,2.854900387,2.480174757,3.229626016
71,oneSided,7.568238899,7.488808247,7.647669551,0.856352087,0.800400304,0.91230387,2.296144142,1.942533696,2.649754589
72,oneSided,6.529257015,6.46205577,6.596458261,1.376581209,1.319470661,1.433691757,2.271995329,2.059898056,2.484092603
73,oneSided,6.344173613,6.227402492,6.460944735,1.492210683,1.399868188,1.584553177,1.936521166,1.815350996,2.057691336
74,oneSided,6.587588589,6.446837701,6.728339476,1.365672527,1.282423123,1.448921932,1.918197581,1.777908517,2.058486645
75,oneSided,6.177705618,6.091902798,6.263508439,1.389444732,1.314159151,1.464730314,2.277401008,2.096245747,2.45855627
76,oneSided,6.033968171,5.95417309,6.113763252,1.534279185,1.457806294,1.610752075,2.09885098,1.982039382,2.215662578
77,oneSided,6.219602252,5.963514401,6.475690103,1.519493277,1.343903234,1.69508332,1.630842924,1.52336806,1.738317788
78,oneSided,4.977361869,4.87220936,5.082514378,1.667931698,1.567476489,1.768386906,2.090834823,1.957396479,2.224273168
80,oneSided,6.600058485,6.54966459,6.65045238,1.162309672,1.113887992,1.210731352,2.673233364,2.301097323,3.045369405
81,oneSided,6.509830666,6.406384657,6.613276676,1.342768316,1.265784454,1.419752177,2.045382835,1.892728497,2.198037172
82,oneSided,7.117120952,7.022634932,7.211606972,0.998056315,0.94184131,1.054271321,2.204710392,1.943678785,2.465741999
84,oneSided,6.939911105,6.871549496,7.008272713,1.070145898,1.007604561,1.132687235,2.261975931,2.024810868,2.499140993
85,oneSided,6.907537048,6.779805134,7.035268963,1.266159432,1.171021585,1.361297279,1.900779574,1.748569336,2.052989812
87,oneSided,5.394560793,5.277436935,5.511684652,1.727244031,1.617575692,1.83691237,1.999328416,1.879230714,2.119426118
88,oneSided,3.702702287,3.611421166,3.793983408,1.414910216,1.323426649,1.506393782,2.416111636,2.213785933,2.618437339
89,oneSided,5.893405863,5.798600629,5.988211097,1.611443579,1.524634875,1.698252283,2.066850545,1.943734423,2.189966668
90,oneSided,4.1136806,3.995651542,4.231709657,1.541962979,1.420029785,1.663896172,2.362907054,2.130511265,2.595302842
